,BPCY,WYIELD,Modification,Constraints,Biomass_pFBA,Product_pFBA,Glucose_pFBA,FVA_min,FVA_max
27,1.0486401003429149,9.108945530764665,"{'b4388': 0, 'b0722': 0, 'b3640': 32, 'b1131': 8, 'b1849': 16, 'b3941': 2, 'b3957': 8, 'b1380': 8}","{'ACKr': (3.414506266492147, 10000), 'ADSL2r': (1.3131502810935949, 10000), 'ACODA': (0.8674063251076497, 10000), 'PSP_L': (0, 0), 'MTHFR2': (0.11316395722103005, 10000), 'DUTPDP': (0.30692586551045004, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.8777052209998979, 10000), 'SUCDi': (0, 0)}",0.11390080495930743,9.206608335362903,-10.0,7.712292350259168,9.388830915437229
28,1.228939876327533,8.945573764510574,"{'b4388': 0, 'b1278': 2, 'b3640': 32, 'b0221': 0.03125, 'b1131': 8, 'b1849': 16, 'b0722': 0, 'b3957': 8, 'b1380': 8}","{'ACKr': (3.414506266492147, 10000), 'ADSL2r': (1.3131502810935949, 10000), 'ACODA': (0.8674063251076497, 10000), 'PSP_L': (0, 0), 'UDCPDP': (0.020371990251672942, 10000), 'DUTPDP': (0.30692586551045004, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.8777052209998979, 10000), 'SUCDi': (0, 0), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.1354991942171741,9.069720919209757,-10.0,7.203457611277728,9.285794941245937
29,1.8432161668096805,8.28854763717239,"{'b1380': 8, 'b0221': 0.03125, 'b3640': 16, 'b1849': 16, 'b1131': 4, 'b0722': 0, 'b4388': 0}","{'ACKr': (3.414506266492147, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'PSP_L': (0, 0), 'DUTPDP': (0.15346293275522502, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.2175391398832453,8.473032337072596,-10.0,5.647954064482872,8.738150431957239
30,1.2304674113852812,8.883120548066312,"{'b4388': 0, 'b3640': 32, 'b0221': 0.03125, 'b1131': 8, 'b1849': 16, 'b0722': 0, 'b3957': 8, 'b1380': 8}","{'ACKr': (3.414506266492147, 10000), 'ADSL2r': (1.3131502810935949, 10000), 'ACODA': (0.8674063251076497, 10000), 'PSP_L': (0, 0), 'DUTPDP': (0.30692586551045004, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.8777052209998979, 10000), 'SUCDi': (0, 0), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.13568450712627278,9.068591819700545,-10.0,7.107578443647149,9.290853326929117
31,1.9450233017792773,8.19471643720647,"{'b4388': 0, 'b0722': 0, 'b3640': 16, 'b1849': 4, 'b1131': 4, 'b2508': 4, 'b0474': 2, 'b1380': 8}","{'ACKr': (0.8536265666230367, 10000), 'IMPD': (0.35663152763307215, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'ADK1': (1.923343000910192, 10000), 'NDPK2': (0.31178426407809934, 10000), 'NDPK3': (0.13269725606461658, 10000), 'NDPK4': (0.019182866594403127, 10000), 'NDPK1': (0.5791765332764045, 10000), 'PSP_L': (0, 0), 'DUTPDP': (0.15346293275522502, 10000), 'ADNK1': (0.0004933910119251436, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0)}",0.23207854516329415,8.380883723699991,-10.0,5.54328349976124,8.616543027210502
32,2.286109795299076,7.515261527703999,"{'b4388': 0.5, 'b0221': 0.03125, 'b1849': 16, 'b0722': 0, 'b0474': 2}","{'ACKr': (3.414506266492147, 10000), 'ADK1': (1.923343000910192, 10000), 'NDPK2': (0.31178426407809934, 10000), 'NDPK3': (0.13269725606461658, 10000), 'NDPK4': (0.019182866594403127, 10000), 'NDPK1': (0.5791765332764045, 10000), 'PSP_L': (0, 0.3150702995360441), 'ADNK1': (0.0004933910119251436, 10000), 'SUCDi': (0, 0), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.2948915064442345,7.752375858040068,-10.0,4.040268856249343,8.091176201078065
35,2.07328136160321,7.937579125902258,"{'b1849': 32, 'b1380': 8, 'b3640': 16, 'b0722': 0, 'b4388': 0.25, 'b0221': 0.03125}","{'ACKr': (6.829012532984294, 10000), 'PSP_L': (0, 0.15753514976802205), 'DUTPDP': (0.15346293275522502, 10000), 'LDH_D': (10.207989376191374, 10000), 'SUCDi': (0, 0), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.25397456930358325,8.163342366530628,-10.0,4.733818985095506,8.433404953906614
36,2.0865188277099347,7.860058367609306,"{'b1380': 8, 'b0221': 0.03125, 'b1131': 2, 'b1849': 16, 'b0722': 0.03125, 'b4388': 0}","{'ACKr': (3.414506266492147, 10000), 'ADSL2r': (0.3282875702733987, 10000), 'PSP_L': (0, 0), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.21942630524997447, 10000), 'SUCDi': (0, 0.12511098860613198), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.2582639723947885,8.07901624203492,-10.0,4.720468505398049,8.397528439854874
37,1.0088284673166064,9.150800479335402,"{'b4388': 0, 'b2508': 32, 'b3640': 32, 'b0722': 0, 'b1131': 8, 'b1849': 16, 'b3941': 2, 'b1380': 8}","{'ACKr': (3.414506266492147, 10000), 'IMPD': (2.8530522210645772, 10000), 'ADSL2r': (1.3131502810935949, 10000), 'PSP_L': (0, 0), 'MTHFR2': (0.11316395722103005, 10000), 'DUTPDP': (0.30692586551045004, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.8777052209998979, 10000), 'SUCDi': (0, 0)}",0.10922498087314679,9.236243021074753,-10.0,7.916762753779416,9.437547831656435
38,1.7857430776743963,8.34097519129566,"{'b4388': 0, 'b2508': 32, 'b0722': 0, 'b1849': 32, 'b3640': 16, 'b0474': 2, 'b1278': 8, 'b1380': 8}","{'ACKr': (6.829012532984294, 10000), 'IMPD': (2.8530522210645772, 10000), 'ADK1': (1.923343000910192, 10000), 'NDPK2': (0.31178426407809934, 10000), 'NDPK3': (0.13269725606461658, 10000), 'NDPK4': (0.019182866594403127, 10000), 'NDPK1': (0.5791765332764045, 10000), 'PSP_L': (0, 0), 'UDCPDP': (0.08148796100669177, 10000), 'DUTPDP': (0.15346293275522502, 10000), 'ADNK1': (0.0004933910119251436, 10000), 'LDH_D': (10.207989376191374, 10000), 'SUCDi': (0, 0)}",0.2094956355299751,8.524010885268495,-10.0,5.738468162435849,8.80542620222634
39,1.8294413226037929,8.304722473433522,"{'b3640': 16, 'b4388': 0, 'b1849': 16, 'b1131': 4, 'b0722': 0, 'b1278': 8, 'b1380': 8}","{'ACKr': (3.414506266492147, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'PSP_L': (0, 0), 'UDCPDP': (0.08148796100669177, 10000), 'DUTPDP': (0.15346293275522502, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0)}",0.21560081898760527,8.485317129975932,-10.0,5.717611279003258,8.754362523796235
40,1.886825393296016,8.236072560472468,"{'b1278': 16, 'b4388': 0, 'b2508': 32, 'b0221': 0.03125, 'b3640': 16, 'b1849': 16, 'b0722': 0, 'b1380': 8}","{'ACKr': (3.414506266492147, 10000), 'IMPD': (2.8530522210645772, 10000), 'PSP_L': (0, 0), 'UDCPDP': (0.16297592201338354, 10000), 'DUTPDP': (0.15346293275522502, 10000), 'LDH_D': (10.207989376191374, 10000), 'SUCDi': (0, 0), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.22372035177743002,8.433856724725416,-10.0,5.425926650707707,8.686450852630374
43,2.1617479455573325,7.655281499957367,"{'b4388': 0.5, 'b1849': 16, 'b2508': 32, 'b0722': 0, 'b0221': 0.03125}","{'ACKr': (3.414506266492147, 10000), 'IMPD': (2.8530522210645772, 10000), 'PSP_L': (0, 0.3150702995360441), 'SUCDi': (0, 0), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.27422637905379366,7.883078035805344,-10.0,4.350904324013193,8.264019069290907
44,2.4475148183391,7.214562022101306,"{'b1849': 4, 'b4388': 0.5, 'b2508': 4, 'b0722': 0.03125}","{'ACKr': (0.8536265666230367, 10000), 'IMPD': (0.35663152763307215, 10000), 'PSP_L': (0, 0.3150702995360441), 'SUCDi': (0, 0.12511098860613198)}",0.3268801208683886,7.487499734885967,-10.0,3.319581121057893,7.823623828292658
45,1.9956412525769167,8.107144811611315,"{'b1849': 32, 'b3640': 16, 'b1278': 8, 'b4388': 0.0625, 'b0722': 0, 'b0474': 2, 'b1380': 8}","{'ACKr': (6.829012532984294, 10000), 'ADK1': (1.923343000910192, 10000), 'NDPK2': (0.31178426407809934, 10000), 'NDPK3': (0.13269725606461658, 10000), 'NDPK4': (0.019182866594403127, 10000), 'NDPK1': (0.5791765332764045, 10000), 'PSP_L': (0, 0.03938378744200551), 'UDCPDP': (0.08148796100669177, 10000), 'DUTPDP': (0.15346293275522502, 10000), 'ADNK1': (0.0004933910119251436, 10000), 'LDH_D': (10.207989376191374, 10000), 'SUCDi': (0, 0)}",0.24014794852828583,8.310049137653701,-10.0,5.247949957995962,8.549050637929817
46,2.2657311833029583,7.543537928857623,"{'b4388': 0.5, 'b1849': 4, 'b0722': 0, 'b0417': 16, 'b0474': 4, 'b1278': 8}","{'ACKr': (0.8536265666230367, 10000), 'ADK1': (3.846686001820384, 10000), 'NDPK2': (0.6235685281561987, 10000), 'NDPK3': (0.26539451212923315, 10000), 'NDPK4': (0.038365733188806254, 10000), 'NDPK1': (1.158353066552809, 10000), 'TMPK': (0.001307889398624749, 10000), 'PSP_L': (0, 0.3150702995360441), 'UDCPDP': (0.08148796100669177, 10000), 'ADNK1': (0.0009867820238502873, 10000), 'SUCDi': (0, 0)}",0.29144280439499404,7.774188105299785,-10.0,4.155056090439372,8.120021102081559
47,1.2926736808539168,8.818526780678964,"{'b3941': 2, 'b4388': 0, 'b2508': 32, 'b0722': 0, 'b1849': 32, 'b3640': 16, 'b1131': 4, 'b0474': 2, 'b1278': 8, 'b1380': 8}","{'ACKr': (6.829012532984294, 10000), 'IMPD': (2.8530522210645772, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'ADK1': (1.923343000910192, 10000), 'NDPK2': (0.31178426407809934, 10000), 'NDPK3': (0.13269725606461658, 10000), 'NDPK4': (0.019182866594403127, 10000), 'NDPK1': (0.5791765332764045, 10000), 'PSP_L': (0, 0), 'UDCPDP': (0.08148796100669177, 10000), 'MTHFR2': (0.11316395722103005, 10000), 'DUTPDP': (0.15346293275522502, 10000), 'ADNK1': (0.0004933910119251436, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0)}",0.1446783042518381,8.934813602761626,-10.0,7.182100303733396,9.205310745802063
48,2.258934605042498,7.552124825778179,"{'b1131': 2, 'b1849': 16, 'b4388': 0.5, 'b0722': 0, 'b0221': 0.03125}","{'ACKr': (3.414506266492147, 10000), 'ADSL2r': (0.3282875702733987, 10000), 'PSP_L': (0, 0.3150702995360441), 'ADSL1r': (0.21942630524997447, 10000), 'SUCDi': (0, 0), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.2902982367631451,7.781427232320766,-10.0,4.181600677226383,8.12959425150453
49,1.64540977135363,8.501756731116345,"{'b1278': 16, 'b4388': 0, 'b0722': 0, 'b3640': 16, 'b1849': 16, 'b1131': 4, 'b3941': 2, 'b0474': 2, 'b1380': 8}","{'ACKr': (3.414506266492147, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'ADK1': (1.923343000910192, 10000), 'NDPK2': (0.31178426407809934, 10000), 'NDPK3': (0.13269725606461658, 10000), 'NDPK4': (0.019182866594403127, 10000), 'NDPK1': (0.5791765332764045, 10000), 'PSP_L': (0, 0), 'UDCPDP': (0.16297592201338354, 10000), 'MTHFR2': (0.11316395722103005, 10000), 'DUTPDP': (0.15346293275522502, 10000), 'ADNK1': (0.0004933910119251436, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0)}",0.19031865324878364,8.645551779950207,-10.0,6.394433472605015,8.879097943348919
